Raman Shift ; Dark Subtracted
176 ; 5695.82
180 ; 4732.03
184 ; 3766.91
188 ; 3155.30
192 ; 2684.69
196 ; 2410.35
200 ; 2280.32
204 ; 2107.09
208 ; 1876.40
212 ; 1692.26
216 ; 1549.20
220 ; 1413.64
224 ; 1299.64
228 ; 1213.89
232 ; 1134.50
236 ; 1060.91
240 ; 1011.94
244 ; 960.77
248 ; 878.35
252 ; 836.39
256 ; 872.11
260 ; 889.51
264 ; 838.88
268 ; 749.45
272 ; 688.40
276 ; 716.50
280 ; 740.75
284 ; 685.88
288 ; 630.20
292 ; 606.49
296 ; 572.21
300 ; 543.85
304 ; 561.14
308 ; 590.87
312 ; 586.79
316 ; 523.41
320 ; 438.23
324 ; 424.38
328 ; 462.36
332 ; 472.41
336 ; 388.05
340 ; 237.97
344 ; 213.43
348 ; 326.44
352 ; 428.15
356 ; 473.76
360 ; 470.13
364 ; 442.85
368 ; 402.29
372 ; 340.39
376 ; 325.38
380 ; 422.53
384 ; 460.10
388 ; 349.99
392 ; 289.03
396 ; 317.40
400 ; 323.87
404 ; 311.93
408 ; 312.54
412 ; 300.94
416 ; 302.80
420 ; 391.91
424 ; 453.01
428 ; 356.70
432 ; 277.54
436 ; 294.71
440 ; 276.71
444 ; 266.85
448 ; 369.50
452 ; 444.60
456 ; 401.29
460 ; 337.31
464 ; 302.42
468 ; 296.51
472 ; 304.10
476 ; 304.66
480 ; 278.72
484 ; 251.78
488 ; 270.50
492 ; 316.22
496 ; 350.30
500 ; 338.84
504 ; 304.89
508 ; 301.03
512 ; 319.02
516 ; 331.55
520 ; 313.95
524 ; 322.67
528 ; 422.05
532 ; 470.85
536 ; 411.47
540 ; 387.72
544 ; 367.23
548 ; 262.10
552 ; 209.05
556 ; 253.38
560 ; 275.20
564 ; 296.84
568 ; 353.29
572 ; 303.32
576 ; 185.50
580 ; 205.00
584 ; 286.76
588 ; 313.98
592 ; 310.07
596 ; 292.85
600 ; 276.94
604 ; 336.07
608 ; 431.62
612 ; 366.76
616 ; 224.74
620 ; 181.01
624 ; 229.89
628 ; 298.32
632 ; 294.32
636 ; 218.83
640 ; 140.06
644 ; 165.84
648 ; 239.68
652 ; 244.31
656 ; 204.77
660 ; 179.21
664 ; 216.60
668 ; 284.85
672 ; 304.32
676 ; 187.84
680 ; 81.13
684 ; 154.09
688 ; 242.62
692 ; 269.05
696 ; 287.33
700 ; 301.70
704 ; 402.81
708 ; 779.41
712 ; 1147.59
716 ; 1168.28
720 ; 940.86
724 ; 658.72
728 ; 535.68
732 ; 772.10
736 ; 1308.17
740 ; 1775.51
744 ; 1708.23
748 ; 1108.77
752 ; 653.92
756 ; 429.71
760 ; 271.19
764 ; 157.50
768 ; 115.04
772 ; 137.04
776 ; 77.25
780 ; 31.49
784 ; 199.48
788 ; 266.92
792 ; 161.09
796 ; 164.66
800 ; 188.53
804 ; 144.31
808 ; 120.95
812 ; 138.90
816 ; 166.73
820 ; 149.83
824 ; 81.19
828 ; 7.69
832 ; 20.72
836 ; 67.68
840 ; 59.69
844 ; 48.27
848 ; 64.12
852 ; 91.14
856 ; 73.72
860 ; 49.09
864 ; 102.04
868 ; 200.12
872 ; 219.39
876 ; 67.76
880 ; 0.00
884 ; 17.47
888 ; 71.39
892 ; 120.14
896 ; 158.99
900 ; 168.03
904 ; 143.14
908 ; 95.65
912 ; 60.52
916 ; 119.34
920 ; 189.45
924 ; 112.66
928 ; 124.03
932 ; 216.17
936 ; 154.89
940 ; 122.68
944 ; 167.93
948 ; 153.08
952 ; 76.32
956 ; 35.31
960 ; 93.58
964 ; 41.61
968 ; 11.62
972 ; 200.98
976 ; 159.63
980 ; 40.50
984 ; 192.25
988 ; 253.41
992 ; 157.71
996 ; 75.26
1000 ; 139.01
1004 ; 232.24
1008 ; 231.73
1012 ; 205.79
1016 ; 212.85
1020 ; 272.60
1024 ; 398.40
1028 ; 746.01
1032 ; 1272.40
1036 ; 2632.82
1040 ; 8752.61
1044 ; 18357.37
1048 ; 24537.99
1052 ; 19546.94
1056 ; 9165.84
1060 ; 3072.88
1064 ; 978.26
1068 ; 683.71
1072 ; 572.01
1076 ; 425.80
1080 ; 317.05
1084 ; 285.84
1088 ; 287.52
1092 ; 301.97
1096 ; 242.41
1100 ; 103.20
1104 ; 135.30
1108 ; 252.03
1112 ; 271.12
1116 ; 176.92
1120 ; 143.69
1124 ; 183.47
1128 ; 172.86
1132 ; 198.25
1136 ; 229.49
1140 ; 196.40
1144 ; 129.57
1148 ; 44.64
1152 ; 0.52
1156 ; 65.34
1160 ; 143.82
1164 ; 157.98
