Raman Shift ; Dark Subtracted
176 ; 5777.96
180 ; 5619.51
184 ; 4989.37
188 ; 4614.42
192 ; 4474.33
196 ; 4600.62
200 ; 4814.58
204 ; 4726.05
208 ; 4469.34
212 ; 4497.63
216 ; 4623.72
220 ; 4500.15
224 ; 4213.15
228 ; 3900.71
232 ; 3614.85
236 ; 3341.86
240 ; 3016.31
244 ; 2650.19
248 ; 2310.51
252 ; 2099.38
256 ; 2020.11
260 ; 1856.67
264 ; 1623.96
268 ; 1604.30
272 ; 1726.43
276 ; 1739.32
280 ; 1651.94
284 ; 1555.51
288 ; 1534.39
292 ; 1587.62
296 ; 1625.33
300 ; 1687.90
304 ; 1844.57
308 ; 1907.08
312 ; 1742.85
316 ; 1510.21
320 ; 1416.76
324 ; 1628.48
328 ; 1780.34
332 ; 1455.70
336 ; 1207.57
340 ; 1426.48
344 ; 1726.25
348 ; 1874.82
352 ; 1879.84
356 ; 1882.64
360 ; 1964.89
364 ; 1878.38
368 ; 1585.18
372 ; 1386.24
376 ; 1338.14
380 ; 1336.26
384 ; 1318.59
388 ; 1268.85
392 ; 1232.76
396 ; 1236.43
400 ; 1262.96
404 ; 1163.54
408 ; 907.71
412 ; 909.30
416 ; 1174.22
420 ; 1209.14
424 ; 1061.89
428 ; 996.92
432 ; 995.60
436 ; 1004.78
440 ; 1014.43
444 ; 1049.41
448 ; 1121.68
452 ; 1105.81
456 ; 983.35
460 ; 959.71
464 ; 1009.19
468 ; 977.53
472 ; 974.75
476 ; 1052.15
480 ; 1027.32
484 ; 921.25
488 ; 895.11
492 ; 928.75
496 ; 987.70
500 ; 1104.66
504 ; 1163.63
508 ; 1014.02
512 ; 884.93
516 ; 928.20
520 ; 989.00
524 ; 1004.76
528 ; 1001.61
532 ; 1008.39
536 ; 1024.01
540 ; 1004.52
544 ; 951.27
548 ; 900.32
552 ; 897.54
556 ; 939.55
560 ; 956.62
564 ; 875.65
568 ; 711.11
572 ; 711.25
576 ; 855.67
580 ; 855.30
584 ; 699.53
588 ; 523.69
592 ; 516.18
596 ; 620.46
600 ; 644.36
604 ; 629.86
608 ; 657.58
612 ; 758.00
616 ; 830.07
620 ; 778.44
624 ; 710.18
628 ; 733.31
632 ; 866.22
636 ; 821.44
640 ; 544.93
644 ; 522.14
648 ; 717.84
652 ; 830.51
656 ; 845.71
660 ; 825.25
664 ; 823.94
668 ; 759.04
672 ; 641.83
676 ; 704.81
680 ; 900.27
684 ; 1019.17
688 ; 923.55
692 ; 803.98
696 ; 1008.69
700 ; 1156.12
704 ; 1105.76
708 ; 1343.23
712 ; 1633.54
716 ; 1679.89
720 ; 1906.41
724 ; 2280.94
728 ; 2450.97
