Raman Shift ; Dark Subtracted
176 ; 1097.26
180 ; 904.41
184 ; 763.51
188 ; 703.50
192 ; 633.69
196 ; 584.16
200 ; 513.68
204 ; 466.40
208 ; 419.14
212 ; 400.91
216 ; 358.02
220 ; 333.39
224 ; 308.99
228 ; 284.78
232 ; 272.20
236 ; 264.99
240 ; 241.41
244 ; 239.14
248 ; 227.94
252 ; 222.18
256 ; 217.34
260 ; 225.61
264 ; 231.08
268 ; 198.48
272 ; 213.60
276 ; 179.57
280 ; 182.34
284 ; 185.42
288 ; 175.72
292 ; 164.24
296 ; 139.81
300 ; 127.97
304 ; 156.85
308 ; 146.08
312 ; 140.00
316 ; 134.09
320 ; 111.42
324 ; 114.16
328 ; 125.13
332 ; 125.56
336 ; 129.70
340 ; 108.98
344 ; 104.68
348 ; 114.76
352 ; 119.92
356 ; 115.41
360 ; 115.09
364 ; 113.16
368 ; 117.72
372 ; 115.06
376 ; 125.89
380 ; 119.97
384 ; 117.43
388 ; 102.66
392 ; 123.49
396 ; 126.97
400 ; 120.04
404 ; 113.70
408 ; 111.79
412 ; 114.87
416 ; 131.71
420 ; 127.22
424 ; 108.72
428 ; 121.39
432 ; 108.81
436 ; 103.62
440 ; 104.12
444 ; 112.58
448 ; 105.90
452 ; 98.96
456 ; 104.51
460 ; 118.64
464 ; 102.16
468 ; 99.63
472 ; 88.40
476 ; 84.78
480 ; 91.60
484 ; 99.72
488 ; 100.00
492 ; 97.24
496 ; 102.17
500 ; 98.98
504 ; 95.80
508 ; 100.27
512 ; 96.95
516 ; 91.72
520 ; 78.79
524 ; 85.52
528 ; 110.94
532 ; 99.91
536 ; 100.73
540 ; 107.68
544 ; 121.52
548 ; 108.02
552 ; 114.87
556 ; 125.35
560 ; 115.19
564 ; 112.29
568 ; 115.29
572 ; 129.88
576 ; 133.26
580 ; 100.87
584 ; 111.94
588 ; 120.30
592 ; 118.60
596 ; 105.36
600 ; 112.28
604 ; 89.32
608 ; 106.22
612 ; 107.46
616 ; 104.05
620 ; 104.13
624 ; 78.18
628 ; 62.63
632 ; 65.45
636 ; 82.64
640 ; 71.56
644 ; 81.65
648 ; 84.25
652 ; 97.25
656 ; 78.79
660 ; 66.89
664 ; 59.45
668 ; 61.40
672 ; 78.70
676 ; 91.46
680 ; 76.98
684 ; 75.10
688 ; 69.80
692 ; 75.45
696 ; 102.79
700 ; 104.04
704 ; 142.30
708 ; 239.00
712 ; 384.18
716 ; 398.50
720 ; 317.16
724 ; 195.76
728 ; 141.31
732 ; 233.71
736 ; 511.37
740 ; 688.80
744 ; 529.39
748 ; 318.20
752 ; 161.65
756 ; 97.67
760 ; 73.91
764 ; 64.37
768 ; 47.89
772 ; 54.55
776 ; 67.44
780 ; 80.22
784 ; 31.99
788 ; 28.84
792 ; 56.45
796 ; 53.93
800 ; 51.26
804 ; 48.81
808 ; 21.59
812 ; 22.38
816 ; 44.75
820 ; 44.49
824 ; 28.84
828 ; 25.80
832 ; 41.29
836 ; 43.41
840 ; 33.97
844 ; 33.65
848 ; 21.00
852 ; 33.85
856 ; 44.65
860 ; 36.26
864 ; 30.75
868 ; 9.93
872 ; 33.87
876 ; 67.37
880 ; 39.45
884 ; 6.74
888 ; 33.29
892 ; 60.36
896 ; 57.93
900 ; 31.00
904 ; 30.02
908 ; 53.51
912 ; 57.34
916 ; 57.38
920 ; 51.29
924 ; 45.31
928 ; 29.87
932 ; 66.32
936 ; 33.12
940 ; 18.43
944 ; 39.76
948 ; 50.02
952 ; 42.85
956 ; 51.30
960 ; 45.24
964 ; 52.89
968 ; 41.12
972 ; 45.91
976 ; 37.85
980 ; 50.90
984 ; 52.43
988 ; 54.88
