Raman Shift ; Dark Subtracted
176 ; 2406.51
180 ; 2414.22
184 ; 2343.65
188 ; 2319.16
192 ; 2312.38
196 ; 2333.35
200 ; 2360.80
204 ; 2366.52
208 ; 2324.63
212 ; 2337.42
216 ; 2344.28
220 ; 2285.85
224 ; 2266.28
228 ; 2193.20
232 ; 2172.83
236 ; 2095.71
240 ; 2058.01
244 ; 1983.59
248 ; 1964.65
252 ; 1903.25
256 ; 1845.62
260 ; 1857.40
264 ; 1820.18
268 ; 1807.27
272 ; 1817.86
276 ; 1821.06
280 ; 1813.55
284 ; 1810.98
288 ; 1823.56
292 ; 1804.28
296 ; 1826.15
300 ; 1796.79
304 ; 1801.24
308 ; 1768.50
312 ; 1791.89
316 ; 1790.85
320 ; 1796.58
324 ; 1792.63
328 ; 1807.29
332 ; 1778.83
336 ; 1773.34
340 ; 1765.74
344 ; 1791.40
348 ; 1813.08
352 ; 1859.60
356 ; 1819.23
360 ; 1812.64
364 ; 1785.47
368 ; 1764.28
372 ; 1721.88
376 ; 1715.85
380 ; 1709.46
384 ; 1688.99
388 ; 1685.76
392 ; 1686.22
396 ; 1674.92
400 ; 1676.52
404 ; 1667.19
408 ; 1648.75
412 ; 1679.51
416 ; 1656.78
420 ; 1610.74
424 ; 1659.77
428 ; 1625.39
432 ; 1635.87
436 ; 1618.04
440 ; 1607.66
444 ; 1585.02
448 ; 1621.76
452 ; 1612.35
456 ; 1595.66
460 ; 1589.69
464 ; 1599.60
468 ; 1608.37
472 ; 1566.84
476 ; 1589.04
480 ; 1553.10
484 ; 1569.40
488 ; 1574.47
492 ; 1538.46
496 ; 1578.19
500 ; 1561.72
504 ; 1521.00
508 ; 1553.67
512 ; 1540.95
516 ; 1557.12
520 ; 1549.76
524 ; 1551.92
528 ; 1564.56
532 ; 1574.54
536 ; 1562.46
540 ; 1554.49
544 ; 1536.55
548 ; 1492.08
552 ; 1522.02
556 ; 1534.90
560 ; 1530.74
564 ; 1489.37
568 ; 1526.13
572 ; 1488.70
576 ; 1490.57
580 ; 1490.44
584 ; 1500.97
588 ; 1490.60
592 ; 1494.69
596 ; 1459.78
600 ; 1473.99
604 ; 1463.20
608 ; 1452.65
612 ; 1480.42
616 ; 1435.08
620 ; 1431.01
624 ; 1456.66
628 ; 1415.24
632 ; 1450.32
636 ; 1438.57
640 ; 1430.04
644 ; 1432.03
648 ; 1437.66
652 ; 1441.17
656 ; 1444.37
660 ; 1424.78
664 ; 1404.63
668 ; 1441.13
672 ; 1399.42
676 ; 1412.52
680 ; 1436.65
684 ; 1405.15
688 ; 1405.70
692 ; 1368.81
696 ; 1381.70
700 ; 1415.07
704 ; 1404.82
708 ; 1423.15
712 ; 1477.86
716 ; 1529.50
720 ; 1578.43
724 ; 1623.87
728 ; 1641.09
732 ; 1613.57
736 ; 1517.85
740 ; 1484.90
744 ; 1426.00
748 ; 1372.01
752 ; 1332.74
756 ; 1317.88
760 ; 1310.44
764 ; 1310.67
768 ; 1299.79
772 ; 1317.92
776 ; 1302.60
780 ; 1270.51
784 ; 1294.08
788 ; 1294.58
792 ; 1291.31
796 ; 1279.76
800 ; 1290.53
804 ; 1285.01
808 ; 1264.53
812 ; 1286.25
816 ; 1265.37
820 ; 1257.72
824 ; 1285.09
828 ; 1275.20
832 ; 1258.29
836 ; 1251.62
840 ; 1301.38
844 ; 1268.61
848 ; 1240.00
852 ; 1244.18
856 ; 1261.28
860 ; 1281.44
864 ; 1296.73
868 ; 1226.72
872 ; 1249.30
876 ; 1189.90
880 ; 1244.81
884 ; 1241.13
888 ; 1221.31
892 ; 1241.66
896 ; 1246.10
900 ; 1243.60
904 ; 1249.17
908 ; 1228.88
912 ; 1220.16
916 ; 1222.89
920 ; 1221.86
924 ; 1199.65
928 ; 1233.70
932 ; 1226.43
936 ; 1245.40
940 ; 1256.20
944 ; 1250.62
948 ; 1245.29
952 ; 1249.87
956 ; 1236.56
960 ; 1263.90
964 ; 1245.14
968 ; 1259.69
972 ; 1268.91
976 ; 1256.55
980 ; 1244.37
984 ; 1251.09
988 ; 1289.61
992 ; 1240.75
996 ; 1264.76
1000 ; 1278.60
1004 ; 1282.00
1008 ; 1294.01
1012 ; 1288.58
1016 ; 1327.91
1020 ; 1309.31
1024 ; 1367.31
1028 ; 1350.60
1032 ; 1411.29
1036 ; 1504.37
1040 ; 1552.27
1044 ; 1735.88
1048 ; 2354.12
1052 ; 6792.12
1056 ; 12616.84
1060 ; 9806.15
1064 ; 3718.50
1068 ; 2407.94
1072 ; 1778.04
1076 ; 1563.04
1080 ; 1497.72
1084 ; 1476.50
1088 ; 1408.46
1092 ; 1371.10
1096 ; 1363.41
1100 ; 1313.58
1104 ; 1322.57
1108 ; 1316.43
1112 ; 1349.86
1116 ; 1324.88
1120 ; 1373.65
1124 ; 1359.21
1128 ; 1434.62
1132 ; 1398.40
1136 ; 1354.30
1140 ; 1353.72
1144 ; 1373.04
1148 ; 1320.25
1152 ; 1322.17
1156 ; 1314.09
1160 ; 1321.60
1164 ; 1326.09
1168 ; 1338.15
1172 ; 1311.12
1176 ; 1301.71
1180 ; 1296.08
1184 ; 1354.13
1188 ; 1353.40
1192 ; 1372.88
1196 ; 1348.30
1200 ; 1289.75
1204 ; 1328.93
1208 ; 1297.81
1212 ; 1361.28
1216 ; 1311.11
1220 ; 1361.65
1224 ; 1316.81
1228 ; 1285.84
1232 ; 1354.42
1236 ; 1342.55
1240 ; 1344.60
1244 ; 1381.12
1248 ; 1338.52
1252 ; 1391.84
1256 ; 1346.48
1260 ; 1379.50
1264 ; 1348.49
1268 ; 1344.62
1272 ; 1395.74
1276 ; 1363.84
1280 ; 1376.89
1284 ; 1364.52
1288 ; 1401.13
1292 ; 1510.59
1296 ; 1489.17
1300 ; 1468.12
1304 ; 1458.75
1308 ; 1426.45
1312 ; 1452.22
1316 ; 1456.00
1320 ; 1409.07
1324 ; 1424.81
1328 ; 1418.41
1332 ; 1450.26
1336 ; 1435.85
1340 ; 1469.39
1344 ; 1503.94
1348 ; 1511.61
1352 ; 1533.20
1356 ; 1561.49
1360 ; 1506.77
1364 ; 1569.89
1368 ; 1563.76
1372 ; 1462.21
1376 ; 1494.19
1380 ; 1527.10
1384 ; 1530.26
1388 ; 1442.98
1392 ; 1480.86
1396 ; 1458.95
1400 ; 1518.10
1404 ; 1469.64
1408 ; 1487.61
1412 ; 1549.62
1416 ; 1614.21
1420 ; 1686.81
1424 ; 1726.96
1428 ; 1807.84
1432 ; 1788.69
1436 ; 1838.01
1440 ; 1768.45
1444 ; 1701.59
1448 ; 1639.23
1452 ; 1553.30
1456 ; 1573.89
1460 ; 1505.72
1464 ; 1509.87
1468 ; 1463.35
1472 ; 1453.87
1476 ; 1440.27
1480 ; 1414.78
1484 ; 1403.06
1488 ; 1401.88
1492 ; 1435.12
1496 ; 1385.70
1500 ; 1445.39
1504 ; 1426.65
